阶段,机构类型,主题编号,主题标签,主题论文数,机构类型文献总数,主题占比
2011-2015,高校/科研院所,T01,二氧化碳 / 实验 / 注入 / 模拟,2859,26251,0.10891
2011-2015,高校/科研院所,T02,储层 / 孔隙 / 渗透率 / 裂缝,2857,26251,0.108834
2011-2015,高校/科研院所,T03,油田 / 钻井 / 储层 / 地层,1176,26251,0.044798
2011-2015,高校/科研院所,T04,钻井 / 裂缝 / 水平 / 水力压裂,2264,26251,0.086244
2011-2015,高校/科研院所,T05,产品 / 催化剂 / 收率 / 汽油,1424,26251,0.054246
2011-2015,高校/科研院所,T06,水合物 / 地层 / 颗粒 / 浓度,1756,26251,0.066893
2011-2015,高校/科研院所,T07,地震 / 速度 / 频率 / 反演,1654,26251,0.063007
2011-2015,高校/科研院所,T08,储层 / 地震 / 预测 / 测井,1882,26251,0.071693
2011-2015,高校/科研院所,T09,盆地 / 构造 / 地层 / 沉积,3227,26251,0.122929
2011-2015,高校/科研院所,T10,岩石 / 成藏 / 储层 / 地层,1671,26251,0.063655
2011-2015,高校/科研院所,T11,驱替 / 注入 / 储层 / 页岩,1755,26251,0.066855
2011-2015,高校/科研院所,T12,催化剂 / 地层 / 吸附 / 活性,3726,26251,0.141937
2011-2015,企业研发中心,T01,二氧化碳 / 实验 / 注入 / 模拟,445,17355,0.025641
2011-2015,企业研发中心,T02,储层 / 孔隙 / 渗透率 / 裂缝,1607,17355,0.092596
2011-2015,企业研发中心,T03,油田 / 钻井 / 储层 / 地层,4972,17355,0.286488
2011-2015,企业研发中心,T04,钻井 / 裂缝 / 水平 / 水力压裂,2442,17355,0.140709
2011-2015,企业研发中心,T05,产品 / 催化剂 / 收率 / 汽油,854,17355,0.049208
2011-2015,企业研发中心,T06,水合物 / 地层 / 颗粒 / 浓度,554,17355,0.031922
2011-2015,企业研发中心,T07,地震 / 速度 / 频率 / 反演,752,17355,0.04333
2011-2015,企业研发中心,T08,储层 / 地震 / 预测 / 测井,1284,17355,0.073984
2011-2015,企业研发中心,T09,盆地 / 构造 / 地层 / 沉积,1863,17355,0.107347
2011-2015,企业研发中心,T10,岩石 / 成藏 / 储层 / 地层,1044,17355,0.060156
2011-2015,企业研发中心,T11,驱替 / 注入 / 储层 / 页岩,1317,17355,0.075886
2011-2015,企业研发中心,T12,催化剂 / 地层 / 吸附 / 活性,221,17355,0.012734
2016-2020,高校/科研院所,T01,储层 / 裂缝 / 渗透率 / 应力,2266,22336,0.101451
2016-2020,高校/科研院所,T02,盆地 / 断层 / 构造 / 岩石,1956,22336,0.087572
2016-2020,高校/科研院所,T03,孔隙 / 页岩 / 储层 / 孔隙度,1809,22336,0.08099
2016-2020,高校/科研院所,T04,钻井 / 水力压裂 / 凝胶 / 储层,1022,22336,0.045756
2016-2020,高校/科研院所,T05,颗粒 / 燃烧 / 灰分 / 实验,2086,22336,0.093392
2016-2020,高校/科研院所,T06,催化剂 / 催化 / 构造 / 活性,3750,22336,0.16789
2016-2020,高校/科研院所,T07,表面活性剂 / 采收率 / 吸附 / 润湿性,986,22336,0.044144
2016-2020,高校/科研院所,T08,水合物 / 甲烷 / 聚合物 / 实验,1364,22336,0.061067
2016-2020,高校/科研院所,T09,沉积 / 储层 / 碳酸盐岩 / 三角洲,1634,22336,0.073155
2016-2020,高校/科研院所,T10,二氧化碳 / 注入 / 采收率 / 稠油,1606,22336,0.071902
2016-2020,高校/科研院所,T11,产品 / 热解 / 收率 / 化合物,2102,22336,0.094108
2016-2020,高校/科研院所,T12,地震 / 频率 / 速度 / 反演,1755,22336,0.078573
2016-2020,企业研发中心,T01,储层 / 裂缝 / 渗透率 / 应力,496,2447,0.202697
2016-2020,企业研发中心,T02,盆地 / 断层 / 构造 / 岩石,424,2447,0.173273
2016-2020,企业研发中心,T03,孔隙 / 页岩 / 储层 / 孔隙度,234,2447,0.095627
2016-2020,企业研发中心,T04,钻井 / 水力压裂 / 凝胶 / 储层,306,2447,0.125051
2016-2020,企业研发中心,T05,颗粒 / 燃烧 / 灰分 / 实验,40,2447,0.016347
2016-2020,企业研发中心,T06,催化剂 / 催化 / 构造 / 活性,81,2447,0.033102
2016-2020,企业研发中心,T07,表面活性剂 / 采收率 / 吸附 / 润湿性,83,2447,0.033919
2016-2020,企业研发中心,T08,水合物 / 甲烷 / 聚合物 / 实验,46,2447,0.018799
2016-2020,企业研发中心,T09,沉积 / 储层 / 碳酸盐岩 / 三角洲,247,2447,0.10094
2016-2020,企业研发中心,T10,二氧化碳 / 注入 / 采收率 / 稠油,156,2447,0.063752
2016-2020,企业研发中心,T11,产品 / 热解 / 收率 / 化合物,70,2447,0.028606
2016-2020,企业研发中心,T12,地震 / 频率 / 速度 / 反演,264,2447,0.107887
2021-2025,高校/科研院所,T01,构造 / 复合材料 / 强度 / 材料,2192,28294,0.077472
2021-2025,高校/科研院所,T02,产品 / 热解 / 收率 / 机理,4248,28294,0.150138
2021-2025,高校/科研院所,T03,页岩 / 孔隙 / 储层 / 岩石,1603,28294,0.056655
2021-2025,高校/科研院所,T04,水合物 / 二氧化碳 / 采收率 / 注入,3840,28294,0.135718
